platform,globalsale,year,id
WS,0,2009,WS-2009
WS,0,2010,WS-2010
WS,0,2011,WS-2011
WS,0,2012,WS-2012
WS,0,2013,WS-2013
WS,0,2014,WS-2014
WS,0,2015,WS-2015
WS,0,2016,WS-2016
WS,0,2017,WS-2017
WS,0,2018,WS-2018
WS,0,2019,WS-2019
WS,0,2020,WS-2020
WS,0.46,1999,WS-1999
NG,0.8,1994,NG-1994
NG,0.33,1995,NG-1995
NG,0.1,1996,NG-1996
NG,0,1997,NG-1997
NG,0,1998,NG-1998
NG,0,1999,NG-1999
NG,0,2000,NG-2000
NG,0,2001,NG-2001
NG,0,2002,NG-2002
NG,0,2003,NG-2003
NG,0,2004,NG-2004
NG,0,2005,NG-2005
NG,0,2006,NG-2006
NG,0,2007,NG-2007
NG,0,2008,NG-2008
NG,0,2009,NG-2009
NG,0,2010,NG-2010
NG,0,2011,NG-2011
NG,0,2012,NG-2012
NG,0,2013,NG-2013
NG,0,2014,NG-2014
NG,0,2015,NG-2015
NG,0,2016,NG-2016
NG,0,2017,NG-2017
NG,0,2018,NG-2018
NG,0,2019,NG-2019
NG,0,2020,NG-2020
NG,0.21,1993,NG-1993
TG16,0.16,1995,TG16-1995
TG16,0,1996,TG16-1996
TG16,0,1997,TG16-1997
TG16,0,1998,TG16-1998
TG16,0,1999,TG16-1999
TG16,0,2000,TG16-2000
TG16,0,2001,TG16-2001
TG16,0,2002,TG16-2002
TG16,0,2003,TG16-2003
TG16,0,2004,TG16-2004
TG16,0,2005,TG16-2005
TG16,0,2006,TG16-2006
TG16,0,2007,TG16-2007
TG16,0,2008,TG16-2008
TG16,0,2009,TG16-2009
TG16,0,2010,TG16-2010
TG16,0,2011,TG16-2011
TG16,0,2012,TG16-2012
TG16,0,2013,TG16-2013
TG16,0,2014,TG16-2014
TG16,0,2015,TG16-2015
TG16,0,2016,TG16-2016
TG16,0,2017,TG16-2017
TG16,0,2018,TG16-2018
TG16,0,2019,TG16-2019
TG16,0,2020,TG16-2020
GBA,0.06,2000,GBA-2000
3DO,0.08,1995,3DO-1995
3DO,0,1996,3DO-1996
3DO,0,1997,3DO-1997
3DO,0,1998,3DO-1998
3DO,0,1999,3DO-1999
3DO,0,2000,3DO-2000
3DO,0,2001,3DO-2001
3DO,0,2002,3DO-2002
3DO,0,2003,3DO-2003
3DO,0,2004,3DO-2004
3DO,0,2005,3DO-2005
3DO,0,2006,3DO-2006
3DO,0,2007,3DO-2007
3DO,0,2008,3DO-2008
3DO,0,2009,3DO-2009
3DO,0,2010,3DO-2010
3DO,0,2011,3DO-2011
3DO,0,2012,3DO-2012
3DO,0,2013,3DO-2013
3DO,0,2014,3DO-2014
3DO,0,2015,3DO-2015
3DO,0,2016,3DO-2016
3DO,0,2017,3DO-2017
3DO,0,2018,3DO-2018
3DO,0,2019,3DO-2019
3DO,0,2020,3DO-2020
GG,0.04,1992,GG-1992
GG,0,1993,GG-1993
GG,0,1994,GG-1994
GG,0,1995,GG-1995
GG,0,1996,GG-1996
GG,0,1997,GG-1997
GG,0,1998,GG-1998
GG,0,1999,GG-1999
GG,0,2000,GG-2000
GG,0,2001,GG-2001
GG,0,2002,GG-2002
GG,0,2003,GG-2003
GG,0,2004,GG-2004
GG,0,2005,GG-2005
GG,0,2006,GG-2006
GG,0,2007,GG-2007
GG,0,2008,GG-2008
GG,0,2009,GG-2009
GG,0,2010,GG-2010
GG,0,2011,GG-2011
GG,0,2012,GG-2012
GG,0,2013,GG-2013
GG,0,2014,GG-2014
GG,0,2015,GG-2015
GG,0,2016,GG-2016
