日期,省份,确诊人数,治愈人数,死亡人数,新增确诊,新增治愈,新增死亡,现有确诊,扩散指数
1月29日,辽宁,41,1,0,2,0,0,40,0.052631579
1月30日,辽宁,48,1,0,7,0,0,47,0.175
1月31日,辽宁,64,1,0,16,0,0,63,0.340425532
2月1日,辽宁,70,1,0,6,0,0,69,0.095238095
2月2日,辽宁,73,1,0,3,0,0,72,0.043478261
2月3日,辽宁,74,1,0,1,0,0,73,0.013888889
2月4日,辽宁,81,2,0,7,1,0,79,0.095890411
2月5日,辽宁,89,4,0,8,2,0,85,0.101265823
2月6日,辽宁,96,7,0,7,3,0,89,0.082352941
2月7日,辽宁,99,7,0,3,0,0,92,0.033707865
2月8日,辽宁,105,8,0,6,1,0,97,0.065217391
2月9日,辽宁,108,13,0,3,5,0,95,0.030927835
2月10日,辽宁,111,18,0,3,5,0,93,0.031578947
2月11日,辽宁,116,19,0,5,1,0,97,0.053763441
2月12日,辽宁,116,20,1,0,1,1,95,0
2月13日,辽宁,117,24,1,1,4,0,92,0.010526316
2月14日,辽宁,119,29,1,2,5,0,89,0.02173913
2月15日,辽宁,120,32,1,1,3,0,87,0.011235955
1月21日,内蒙古,0,0,0,0,0,0,0,0
1月22日,内蒙古,0,0,0,0,0,0,0,#DIV/0!
1月23日,内蒙古,2,0,0,2,0,0,2,#DIV/0!
1月24日,内蒙古,7,0,0,5,0,0,7,2.5
1月25日,内蒙古,7,0,0,0,0,0,7,0
1月26日,内蒙古,11,0,0,4,0,0,11,0.571428571
1月27日,内蒙古,15,0,0,4,0,0,15,0.363636364
1月28日,内蒙古,16,0,0,1,0,0,16,0.066666667
1月29日,内蒙古,18,0,0,2,0,0,18,0.125
1月30日,内蒙古,20,1,0,2,1,0,19,0.111111111
1月31日,内蒙古,23,1,0,3,0,0,22,0.157894737
2月1日,内蒙古,27,1,0,4,0,0,26,0.181818182
2月2日,内蒙古,34,1,0,7,0,0,33,0.269230769
2月3日,内蒙古,34,1,0,0,0,0,33,0
2月4日,内蒙古,42,1,0,8,0,0,41,0.242424242
2月5日,内蒙古,46,4,0,4,3,0,42,0.097560976
2月6日,内蒙古,50,4,0,4,0,0,46,0.095238095
